# Selection     : all
# Cells         : 1000
# Volume        : 1.00000000e+00
# Time          	max(p)	max(U)
14.75           	1.68031918e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
14.8            	1.68031918e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
14.85           	1.68031918e+00	(1.47015221e+00 1.13154490e-01 0.00000000e+00)
14.9            	1.68031918e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
14.95           	1.68031918e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
15              	1.68031918e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
15.05           	1.68031918e+00	(1.47015224e+00 1.13154490e-01 0.00000000e+00)
15.1            	1.68031918e+00	(1.47015221e+00 1.13154490e-01 0.00000000e+00)
15.15           	1.68031919e+00	(1.47015221e+00 1.13154490e-01 0.00000000e+00)
15.2            	1.68031919e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
15.25           	1.68031919e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
15.3            	1.68031919e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
15.35           	1.68031919e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
15.4            	1.68031919e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
15.45           	1.68031919e+00	(1.47015224e+00 1.13154490e-01 0.00000000e+00)
15.5            	1.68031919e+00	(1.47015225e+00 1.13154490e-01 0.00000000e+00)
15.55           	1.68031919e+00	(1.47015225e+00 1.13154490e-01 0.00000000e+00)
15.6            	1.68031919e+00	(1.47015221e+00 1.13154490e-01 0.00000000e+00)
15.65           	1.68031919e+00	(1.47015216e+00 1.13154490e-01 0.00000000e+00)
15.7            	1.68031920e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
15.75           	1.68031920e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
15.8            	1.68031920e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
15.85           	1.68031920e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
15.9            	1.68031920e+00	(1.47015224e+00 1.13154490e-01 0.00000000e+00)
15.95           	1.68031921e+00	(1.47015224e+00 1.13154490e-01 0.00000000e+00)
16              	1.68031921e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
16.05           	1.68031921e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
16.1            	1.68031921e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
16.15           	1.68031921e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
16.2            	1.68031921e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
16.25           	1.68031921e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
16.3            	1.68031921e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
16.35           	1.68031921e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
16.4            	1.68031921e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
16.45           	1.68031924e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
16.5            	1.68031924e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
16.55           	1.68031924e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
16.6            	1.68031924e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
16.65           	1.68031924e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
16.7            	1.68031924e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
16.75           	1.68031924e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
16.8            	1.68031924e+00	(1.47015224e+00 1.13154490e-01 0.00000000e+00)
16.85           	1.68031924e+00	(1.47015224e+00 1.13154490e-01 0.00000000e+00)
16.9            	1.68031924e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
16.95           	1.68031913e+00	(1.47015223e+00 1.13154490e-01 0.00000000e+00)
17              	1.68031913e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
17.05           	1.68031913e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
17.1            	1.68031913e+00	(1.47015222e+00 1.13154490e-01 0.00000000e+00)
